case_id,client_segment,jurisdiction,service_line,claim_value_band,attachments_present,historical_outcome,free_text_summary,handler_notes
C-18543,SMB,EU,Advisory,<50k,No,Unknown,Operational risk assessment requested. No immediate dispute. wear and tear. Evidence not yet supplied. Jurisdiction noted as EU.,No data Available
C-18573,SMB,UK,Insurance,<50k,No,Rejected,Business interruption may apply. Roof compromised. No supporting documentation provided. Conflicting information reported by client.,No data Available
C-18607,SMB,US,Insurance,250k-1m,Yes,Unknown,Incident reported at commercial premises. Fire damage to warehouse. Loss adjuster appointed. Overseas elements present.,No data Available
C-18790,SMB,UK,Legal,50k-250k,No,Unknown,Potential breach of contract raised. Governing law unclear.,Handler flagged missing attachments.
C-18900,SMB,UK,Advisory,50k-250k,No,Unknown,Client requesting advice on regulatory exposure. No immediate dispute. Jurisdiction noted as UK.,Duplicate of earlier report suspected.
C-18932,SMB,UK,Legal,<50k,No,Unknown,Employment dispute raised by former contractor. Jurisdiction disputed. no supporting documentation. No policy documents attached. Cross-border considerations likely.,Client requested urgent callback.
C-19078,SMB,Other,No data Available,250k-1m,Yes,Unknown,Damage reported following heavy rainfall. Roof compromised. class action. Jurisdiction noted as Other.,Client requested urgent callback.
C-19176,Mid-Market,UK,Insurance,50k-250k,No,Unknown,Damage reported following heavy rainfall. Fire damage to warehouse. No policy documents attached. Cross-border considerations likely.,Client requested urgent callback. Check coverage exclusions.
C-19227,Mid-Market,UK,Legal,>1m,Yes,Settled,Potential breach of contract raised. Time-sensitive response required.,"Potential conflict in dates, needs review."
C-19258,Mid-Market,UK,Insurance,50k-250k,Yes,Unknown,Business interruption may apply. Fire damage to warehouse. Policy schedule attached.,No data Available
C-19468,Enterprise,US,Insurance,<50k,Yes,Accepted,Business interruption may apply. Basement affected. small crack.,No additional notes.
C-19474,SMB,UK,Insurance,>1m,No,Escalated,Business interruption may apply. Fire damage to warehouse. suspected arson. Conflicting information reported by client.,No data Available
C-19543,SMB,US,Advisory,50k-250k,No,Unknown,Operational risk assessment requested. No immediate dispute. business interruption.,No data Available
C-19557,Enterprise,EU,Insurance,>1m,Yes,Accepted,Business interruption may apply. Fire damage to warehouse. flood zone 3. Loss adjuster appointed.,No data Available
C-19750,Mid-Market,UK,Insurance,250k-1m,No,Settled,Loss event impacting property and contents. Water ingress noted. No supporting documentation provided.,No data Available
C-19799,SMB,US,Legal,50k-250k,No,Unknown,Formal letter received from counterparty. Governing law unclear.,Handler flagged missing attachments.
C-19895,Mid-Market,US,Insurance,50k-250k,Yes,Rejected,Client reports storm-related damage. Roof compromised.,No additional notes.
C-19912,Enterprise,EU,Advisory,Unknown,No,Accepted,Operational risk assessment requested. Timeline not specified. small crack.,Client requested urgent callback. Clarify scope and deliverables.
C-20000,Mid-Market,EU,Legal,>1m,Yes,Unknown,Potential breach of contract raised. Evidence currently limited. subsidence. Cross-border considerations likely.,Caller sounded uncertain; follow-up likely required.
