case_id,received_at,client_segment,jurisdiction,service_line,claim_value_band,attachments_present,free_text_summary,handler_notes,historical_outcome
C-05720,2024-11-23T10:22:11+00:00,SMB,EU,Advisory,Unknown,true,Client requesting advice on regulatory exposure. Scope unclear. no supporting documentation.,Duplicate of earlier report suspected.,Rejected
C-05721,2024-10-09T11:50:04+00:00,SMB,UK,Insurance,<50k,false,Incident reported at commercial premises. Water ingress noted. wear and tear.,,Unknown
C-05722,2024-11-18T01:58:24+00:00,Mid-Market,US,Advisory,<50k,true,Client seeks decision support on risk controls. Stakeholders across multiple regions. no supporting documentation.,,Unknown
C-05723,2024-10-31T11:27:05+00:00,SMB,US,Insurance,50k-250k,true,Business interruption may apply. Roof compromised.,,Rejected
C-05724,2024-11-22T13:31:51+00:00,SMB,UK,Advisory,Unknown,true,Operational risk assessment requested. Stakeholders across multiple regions. low value.,Client requested urgent callback.,Accepted
C-05725,2024-12-18T18:36:25+00:00,SMB,Other,Advisory,<50k,false,Client seeks decision support on risk controls ..  Timeline not specified ..  No policy documents attached ..  Cross-border considerations likely .. ,,Unknown
C-05726,2024-12-06T23:55:20+00:00,Mid-Market,US,Advisory,<50k,true,Request for compliance gap analysis. Regulator engagement anticipated.,"Potential conflict in dates, needs review.",Unknown
C-05727,2024-10-29T22:45:15+00:00,SMB,UK,Legal,<50k,false,IP infringement allegation received. Multiple parties named. wear and tear.,Handler flagged missing attachments.,Accepted
C-05728,2024-10-01T13:09:50+00:00,SMB,US,Insurance,250k-1m,true,Damage reported following heavy rainfall. Water ingress noted. Policy schedule attached.,,Accepted
C-05729,2024-12-26T00:27:22+00:00,Enterprise,UK,Insurance,>1m,true,Incident reported at commercial premises. Theft of equipment reported. Police reference number provided. Overseas elements present.,,Accepted
C-05730,2024-10-20T05:26:44+00:00,SMB,UK,Legal,250k-1m,true,Formal letter received from counterparty. Jurisdiction disputed.,,Rejected
C-05731,2024-12-29T06:50:15+00:00,Enterprise,EU,Advisory,50k-250k,false,Strategic risk review requested following acquisition. Timeline not specified. Evidence not yet supplied.,,Rejected
C-05732,2024-11-09T03:59:05+00:00,SMB,UK,Legal,<50k,true,formal letter received from counterparty. time-sensitive response required. minor. supporting documents attached. jurisdction noted as uk.,"Potential conflict in dates, needs review.",Unknown
C-05733,2024-10-13T20:52:14+00:00,SMB,US,Advisory,50k-250k,false,Client requesting advice on regulatory exposure. Scope unclear. breach of contract. No policy documents attached.,"Potential conflict in dates, needs review. Clarify scope and deliverables.",Accepted
C-05734,2024-10-17T14:43:28+00:00,Mid-Market,UK,Legal,50k-250k,false,IP infringement allegation received. Multiple parties named. No supporting documentation provided.,,Unknown
C-05735,2024-10-11T00:31:09+00:00,Enterprise,UK,Legal,50k-250k,false,Dispute escalated to legal threat. Multiple parties named.,No additional notes.,Settled
C-05736,2024-12-13T16:13:34+00:00,SMB,UK,Insurance,<50k,false,Business interruption may apply ..  Fire damage to warehouse ..  Jurisdiction noted as UK .. ,Client requested urgent callback.,Accepted
C-05737,2024-10-24T09:00:33+00:00,Mid-Market,UK,Advisory,250k-1m,true,Client seeks decision support on risk controls. Stakeholders across multiple regions.,,Unknown
C-05738,2024-11-02T19:12:39+00:00,SMB,UK,Legal,<50k,true,Formal letter received from counterparty. Evidence currently limited. wear and tear. Policy schedule attached.,Duplicate of earlier report suspected.,Accepted
C-05739,2024-11-07T15:17:03+00:00,Mid-Market,US,Advisory,<50k,true,Client requesting advice on regulatory exposure. Regulator engagement anticipated. no supporting documentation.,,Settled
C-05740,2024-11-06T08:01:08+00:00,Mid-Market,EU,Insurance,50k-250k,true,LOSS EVENT IMPACTING PROPERTY AND CONTENTS. BASEMENT AFFECTED. FLOOD ZONE. LOSS ADJUSTER APPOINTED.,No additional notes.,Unknown
C-05741,2024-11-15T09:12:46+00:00,Mid-Market,UK,Legal,Unknown,true,Potential breach of contract raised. Multiple parties named. Loss adjuster appointed.,Duplicate of earlier report suspected.,Rejected
C-05742,2024-12-28T11:55:28+00:00,SMB,UK,Legal,250k-1m,true,IP infringement allegation received. Multiple parties named. Police reference number provided.,No additional notes.,Accepted
C-05743,2024-12-06T18:05:01+00:00,SMB,EU,Insurance,Unknown,true,Incident reported at commercial premises. Theft of equipment reported. Policy schedule attached. Overseas elements present.,"Potential conflict in dates, needs review.",Rejected
C-05744,2024-12-17T11:40:18+00:00,SMB,UK,Insurance,<50k,false,Incident reported at commercial premises. Roof compromised. Evidence not yet supplied.,,Unknown
C-05745,2024-11-23T15:40:31+00:00,SMB,UK,Insurance,50k-250k,false,Loss event impacting property and contents. Fire damage to warehouse. storm damage.,Client requested urgent callback.,Rejected
C-05746,2024-10-14T12:30:35+00:00,Mid-Market,EU,Legal,250k-1m,false,Employment dispute raised by former contractor ..  Time-sensitive response required ..  major fire ..  Jurisdiction noted as EU .. ,Caller sounded uncertain; follow-up likely required.,Escalated
C-05747,2024-10-31T18:11:57+00:00,SMB,US,Insurance,<50k,false,Damage reported following heavy rainfall. Fire damage to warehouse. low value. No policy documents attached.,Handler flagged missing attachments.,Unknown
C-05748,2024-11-03T21:00:31+00:00,Enterprise,Other,Insurance,<50k,true,Incident reported at commercial premises. Water ingress noted. Police reference number provided. Overseas elements present.,,Unknown
C-05749,2024-12-24T23:15:20+00:00,Mid-Market,UK,Insurance,<50k,false,Damage reported following heavy rainfall. Theft of equipment reported. low value.,Client requested urgent callback.,Unknown
C-05750,2024-10-10T16:48:03+00:00,SMB,UK,Advisory,<50k,true,Request for compliance gap analysis. Stakeholders across multiple regions. Police reference number provided.,No additional notes.,Accepted
C-05751,2024-10-09T11:12:59+00:00,Mid-Market,US,Insurance,250k-1m,true,Loss event impacting property and contents. Roof compromised. fire. Police reference number provided. Jurisdiction noted as US.,,Rejected
C-05752,2024-12-15T10:19:54+00:00,Mid-Market,US,Insurance,50k-250k,true,Incident reported at commercial premises. Fire damage to warehouse. breach of contract.,Caller sounded uncertain; follow-up likely required. Check coverage exclusions.,Escalated
C-05753,2024-12-12T23:24:24+00:00,Mid-Market,Other,Legal,50k-250k,true,Formal letter received from counterparty. Multiple parties named. business interruption. Loss adjuster appointed.,,Unknown
C-05754,2024-10-14T10:38:06+00:00,Enterprise,EU,Insurance,>1m,true,Loss event impacting property and contents. Fire damage to warehouse. Loss adjuster appointed.,Duplicate of earlier report suspected.,Unknown
C-05755,2024-11-25T18:31:34+00:00,SMB,UK,Legal,<50k,false,Dispute escalated to legal threat. Jurisdiction disputed. No policy documents attached. Jurisdiction noted as UK.,"Potential conflict in dates, needs review.",Unknown
C-05756,2024-10-07T09:40:28+00:00,Mid-Market,Other,Insurance,<50k,true,Damage reported following heavy rainfall. Basement affected. small crack.,Handler flagged missing attachments. Check coverage exclusions.,Unknown
C-05757,2024-12-09T05:51:01+00:00,Mid-Market,UK,Insurance,50k-250k,false,Client reports storm-related damage. Basement affected.,Client requested urgent callback.,Rejected
C-05758,2024-12-06T23:37:21+00:00,SMB,Other,Insurance,<50k,true,Client reports storm-related damage. Roof compromised. wear and tear.,"Potential conflict in dates, needs review.",Rejected
C-05759,2024-11-12T23:20:19+00:00,SMB,UK,Insurance,<50k,true,Loss event impacting property and contents. Basement affected. wear and tear. Police reference number provided.,Client requested urgent callback.,Rejected
C-05760,2024-11-11T13:32:04+00:00,SMB,UK,Advisory,<50k,true,Request for compliance gap analysis. No immediate dispute. small crack. Supporting documents attached.,,Rejected
C-05761,2024-12-07T09:00:25+00:00,SMB,UK,Advisory,250k-1m,true,Operational risk assessment requested. Stakeholders across multiple regions. fire.,Duplicate of earlier report suspected. Clarify scope and deliverables.,Accepted
C-05762,2024-10-31T08:50:04+00:00,SMB,UK,Advisory,<50k,false,Request for compliance gap analysis. Scope unclear. minor.,Client requested urgent callback. Clarify scope and deliverables.,Rejected
C-05763,2024-11-23T09:26:44+00:00,SMB,EU,Advisory,<50k,true,Request for compliance gap analysis. Scope unclear. low value. Policy schedule attached.,,Accepted
C-05764,2024-10-26T13:41:35+00:00,Mid-Market,EU,Advisory,<50k,false,client seeks decision support on risk controls. scope unclear. low value. no supporting documentaion provided. overseas elements present.,Duplicate of earlier report suspected.,Unknown
C-05765,2024-12-01T05:54:57+00:00,SMB,UK,Legal,50k-250k,true,Formal letter received from counterparty. Multiple parties named. storm damage.,"Potential conflict in dates, needs review. Consider limitation periods.",Rejected
C-05766,2024-10-06T11:31:30+00:00,SMB,US,Advisory,<50k,false,Client requesting advice on regulatory exposure. Stakeholders across multiple regions. low value. No policy documents attached.,Caller sounded uncertain; follow-up likely required.,Rejected
C-05767,2024-10-24T03:32:59+00:00,Enterprise,UK,Legal,<50k,true,Potential breach of contract raised. Multiple parties named. Loss adjuster appointed.,Client requested urgent callback. Consider limitation periods.,Accepted
C-05768,2024-10-05T23:38:56+00:00,SMB,US,Insurance,<50k,true,Client reports storm-related damage. Basement affected. no supporting documentation.,Caller sounded uncertain; follow-up likely required.,Unknown
C-05769,2024-11-07T23:19:47+00:00,SMB,US,Insurance,50k-250k,false,Business interruption may apply. Theft of equipment reported. storm damage. No supporting documentation provided.,,Accepted
C-05770,2024-10-27T19:51:21+00:00,SMB,EU,Insurance,<50k,true,Client reports storm-related damage. Water ingress noted. Policy schedule attached.,,Accepted
C-05771,2024-10-09T23:56:11+00:00,Mid-Market,UK,Legal,50k-250k,true,Formal letter received from counterparty. Multiple parties named. ip infringement. Cross-border considerations likely.,,Accepted
C-05772,2024-10-25T17:17:59+00:00,Mid-Market,US,Advisory,250k-1m,false,Client requesting advice on regulatory exposure. Stakeholders across multiple regions. Cross-border considerations likely.,"Potential conflict in dates, needs review.",Accepted
C-05773,2024-12-13T23:29:37+00:00,Mid-Market,EU,Insurance,<50k,true,Client reports storm-related damage. Fire damage to warehouse. wear and tear. Police reference number provided.,"Potential conflict in dates, needs review.",Unknown
C-05774,2024-12-16T23:20:47+00:00,Enterprise,UK,Legal,<50k,false,Formal letter received from counterparty. Evidence currently limited. minor.,,Rejected
C-05775,2024-12-26T05:42:43+00:00,SMB,UK,Legal,<50k,true,IP infringement allegation received. Multiple parties named. wear and tear. Loss adjuster appointed.,Client requested urgent callback.,Unknown
C-05776,2024-11-13T18:57:47+00:00,SMB,UK,Insurance,50k-250k,false,Business interruption may apply. Theft of equipment reported.,"Potential conflict in dates, needs review. Check coverage exclusions.",Accepted
C-05777,2024-12-22T14:14:32+00:00,SMB,UK,Legal,50k-250k,true,Formal letter received from counterparty. Governing law unclear. prior losses. Supporting documents attached. Cross-border considerations likely.,,Rejected
C-05778,2024-11-23T20:50:37+00:00,SMB,UK,Insurance,<50k,true,Incident reported at commercial premises. Roof compromised. Overseas elements present.,,Rejected
C-05779,2024-12-18T00:18:14+00:00,SMB,US,Insurance,50k-250k,false,Incident reported at commercial premises. Roof compromised. flood zone 3. No policy documents attached. Cross-border considerations likely.,"Potential conflict in dates, needs review.",Unknown
C-05780,2024-12-26T00:03:57+00:00,Enterprise,EU,Insurance,50k-250k,false,Damage reported following heavy rainfall. Theft of equipment reported. Evidence not yet supplied. Cross-border considerations likely.,Handler flagged missing attachments.,Escalated
C-05781,2024-10-19T22:50:43+00:00,Mid-Market,EU,Legal,<50k,false,IP infringement allegation received. Governing law unclear. low value. Evidence not yet supplied.,,Unknown
C-05782,2024-12-07T08:22:57+00:00,Mid-Market,EU,Insurance,50k-250k,true,Damage reported following heavy rainfall. Water ingress noted. Police reference number provided.,,Unknown
C-05783,2024-10-01T08:00:18+00:00,Mid-Market,UK,Advisory,<50k,false,Operational risk assessment requested. Scope unclear.,"Potential conflict in dates, needs review. Clarify scope and deliverables.",Accepted
C-05784,2024-11-08T21:08:14+00:00,SMB,UK,Insurance,<50k,false,Damage reported following heavy rainfall. Water ingress noted. small crack.,,Accepted
C-05785,2024-11-23T10:17:32+00:00,SMB,UK,Legal,>1m,true,Dispute escalated to legal threat. Multiple parties named. injunction. Police reference number provided. Overseas elements present.,Handler flagged missing attachments. Consider limitation periods.,Escalated
C-05786,2024-12-16T13:55:48+00:00,Enterprise,Other,Advisory,250k-1m,true,Client requesting advice on regulatory exposure. Stakeholders across multiple regions.,,Unknown
C-05787,2024-10-24T15:18:17+00:00,Mid-Market,UK,Advisory,<50k,true,Operational risk assessment requested. Regulator engagement anticipated. minor. Jurisdiction noted as UK.,Handler flagged missing attachments. Clarify scope and deliverables.,Unknown
C-05788,2024-12-09T20:04:46+00:00,Mid-Market,US,Advisory,<50k,false,Operational risk assessment requested. Regulator engagement anticipated. minor. Evidence not yet supplied.,Handler flagged missing attachments.,Unknown
C-05789,2024-11-15T09:05:25+00:00,SMB,UK,Legal,50k-250k,true,Employment dispute raised by former contractor. Time-sensitive response required. Policy schedule attached.,"Potential conflict in dates, needs review. Consider limitation periods.",Accepted
C-05790,2024-11-16T14:19:08+00:00,SMB,EU,Insurance,<50k,true,Damage reported following heavy rainfall. Fire damage to warehouse. no supporting documentation. Police reference number provided.,,Unknown
C-05791,2024-10-15T13:04:35+00:00,SMB,EU,Insurance,250k-1m,false,Incident reported at commercial premises. Water ingress noted. fire. Cross-border considerations likely.,Handler flagged missing attachments. Check coverage exclusions.,Unknown
C-05792,2024-10-05T05:27:50+00:00,SMB,UK,Legal,<50k,true,Potential breach of contract raised. Evidence currently limited. small crack. Cross-border considerations likely.,,Unknown
C-05793,2024-10-24T13:50:45+00:00,SMB,EU,Legal,50k-250k,true,IP infringement allegation received. Time-sensitive response required. ip infringement. Cross-border considerations likely.,Handler flagged missing attachments.,Unknown
C-05794,2024-11-29T13:38:26+00:00,Enterprise,UK,Advisory,<50k,false,Strategic risk review requested following acquisition. Timeline not specified. low value. No policy documents attached.,"Potential conflict in dates, needs review.",Accepted
C-05795,2024-12-29T22:12:29+00:00,SMB,UK,Insurance,50k-250k,true,Loss event impacting property and contents. Water ingress noted. Overseas elements present.,,Rejected
C-05796,2024-11-06T02:34:11+00:00,Mid-Market,UK,Insurance,<50k,false,Damage reported following heavy rainfall. Roof compromised. No supporting documentation provided.,Client requested urgent callback.,Accepted
C-05797,2024-10-07T21:48:36+00:00,Enterprise,UK,Advisory,<50k,true,Strategic risk review requested following acquisition. Scope unclear.,"Potential conflict in dates, needs review. Clarify scope and deliverables.",Rejected
C-05798,2024-10-25T23:24:23+00:00,Mid-Market,UK,Advisory,<50k,false,Strategic risk review requested following acquisition. Regulator engagement anticipated.,,Unknown
C-05799,2024-11-12T09:33:15+00:00,SMB,US,Legal,250k-1m,true,Employment dispute raised by former contractor. Evidence currently limited. regulator visit.,,Unknown
C-05800,2024-12-25T12:04:07+00:00,Mid-Market,Other,Legal,<50k,true,Formal letter received from counterparty. Governing law unclear. minor.,,Accepted
C-05801,2024-11-20T09:02:41+00:00,Enterprise,UK,Insurance,<50k,true,Business interruption may apply. Theft of equipment reported. low value. Supporting documents attached.,Client requested urgent callback.,Settled
C-05802,2024-10-15T06:24:26+00:00,Mid-Market,EU,Insurance,<50k,true,Incident reported at commercial premises. Basement affected. wear and tear. Loss adjuster appointed.,Duplicate of earlier report suspected. Check coverage exclusions.,Unknown
C-05803,2024-10-30T16:40:59+00:00,Enterprise,Other,Legal,50k-250k,true,Employment dispute raised by former contractor. Time-sensitive response required. Overseas elements present.,"Potential conflict in dates, needs review.",Settled
C-05804,2024-12-21T20:59:13+00:00,SMB,EU,Insurance,50k-250k,false,Incident reported at commercial premises. Water ingress noted.,No additional notes.,Unknown
C-05805,2024-10-26T12:03:07+00:00,SMB,UK,Insurance,Unknown,true,Damage reported following heavy rainfall. Theft of equipment reported. Policy schedule attached.,Caller sounded uncertain; follow-up likely required.,Rejected
C-05806,2024-12-08T11:25:40+00:00,SMB,EU,Insurance,250k-1m,false,Incident reported at commercial premises. Water ingress noted. flood zone 3. No supporting documentation provided.,Handler flagged missing attachments. Check coverage exclusions.,Accepted
C-05807,2024-10-11T21:53:42+00:00,SMB,UK,Legal,<50k,false,Dispute escalated to legal threat. Governing law unclear. Evidence not yet supplied.,No additional notes.,Rejected
C-05808,2024-11-12T20:06:29+00:00,Mid-Market,UK,Advisory,Unknown,true,Client requesting advice on regulatory exposure. Scope unclear. Jurisdiction noted as UK.,,Accepted
C-05809,2024-10-04T02:51:45+00:00,Enterprise,UK,Insurance,<50k,true,Incident reported at commercial premises. Theft of equipment reported. Policy schedule attached.,,Accepted
C-05810,2024-10-14T15:00:26+00:00,SMB,UK,Legal,50k-250k,false,Employment dispute raised by former contractor. Multiple parties named. breach of contract. No supporting documentation provided.,,Unknown
C-05811,2024-10-19T12:17:45+00:00,Enterprise,UK,Insurance,Unknown,true,Damage reported following heavy rainfall. Roof compromised.,,Accepted
C-05812,2024-12-02T23:02:13+00:00,SMB,UK,Insurance,50k-250k,false,Incident reported at commercial premises. Roof compromised. breach of contract.,,Accepted
C-05813,2024-12-29T14:28:26+00:00,Mid-Market,UK,Advisory,50k-250k,true,Request for compliance gap analysis. Timeline not specified. Supporting documents attached.,,Rejected
C-05814,2024-10-08T03:39:42+00:00,SMB,UK,Legal,250k-1m,true,Dispute escalated to legal threat. Jurisdiction disputed. storm damage. Loss adjuster appointed. Cross-border considerations likely.,Handler flagged missing attachments.,Accepted
C-05815,2024-12-16T20:59:38+00:00,Enterprise,UK,Advisory,50k-250k,true,CLIENT SEEKS DECISION SUPPORT ON RISK CONTROLS. REGULATOR ENGAGEMENT ANTICIPATED. BREACH OF CONTRACT.,No additional notes.,Unknown
C-05816,2024-10-24T18:05:17+00:00,SMB,EU,Legal,50k-250k,false,Formal letter received from counterparty. Multiple parties named. breach of contract. Jurisdiction noted as EU.,Client requested urgent callback.,Rejected
C-05817,2024-10-28T09:41:28+00:00,SMB,US,Legal,250k-1m,true,Potential breach of contract raised. Multiple parties named. arson. Supporting documents attached.,Duplicate of earlier report suspected. Consider limitation periods.,Accepted
C-05818,2024-11-04T04:48:55+00:00,Mid-Market,UK,Insurance,<50k,false,Loss event impacting property and contents. Roof compromised. minor. No supporting documentation provided.,,Accepted
C-05819,2024-10-10T16:26:18+00:00,SMB,US,Insurance,Unknown,false,Incident reported at commercial premises. Theft of equipment reported. Evidence not yet supplied.,,Unknown
C-05820,2024-10-04T10:39:15+00:00,SMB,US,Insurance,<50k,false,Incident reported at commercial premises. Roof compromised. wear and tear. Jurisdiction noted as US.,Caller sounded uncertain; follow-up likely required.,Rejected
C-05821,2024-12-20T07:16:21+00:00,Mid-Market,UK,Advisory,<50k,false,Operational risk assessment requested. No immediate dispute. low value. Evidence not yet supplied.,No additional notes.,Rejected
C-05822,2024-11-23T19:16:56+00:00,SMB,US,Insurance,<50k,false,Loss event impacting property and contents. Roof compromised.,Duplicate of earlier report suspected. Check coverage exclusions.,Rejected
C-05823,2024-10-05T12:02:40+00:00,SMB,UK,Insurance,50k-250k,false,Client reports storm-related damage. Roof compromised. Evidence not yet supplied.,Duplicate of earlier report suspected.,Unknown
C-05824,2024-11-20T23:16:29+00:00,SMB,UK,Insurance,50k-250k,false,Incident reported at commercial premises. Roof compromised. storm damage. No policy documents attached.,"Potential conflict in dates, needs review.",Rejected
C-05825,2024-11-29T04:40:58+00:00,SMB,UK,Insurance,<50k,true,Client reports storm-related damage. Basement affected. Overseas elements present.,No additional notes. Check coverage exclusions.,Rejected
C-05826,2024-10-16T09:29:20+00:00,SMB,UK,Advisory,<50k,true,Client seeks decision support on risk controls. Timeline not specified. low value. Policy schedule attached.,"Potential conflict in dates, needs review. Clarify scope and deliverables.",Rejected
C-05827,2024-12-09T05:58:10+00:00,SMB,EU,Legal,50k-250k,true,FORMAL LETTER RECEIVED FROM COUNTERPARTY. GOVERNING LAW UNCLEAR. STORM DAMAGE.,Caller sounded uncertain; follow-up likely required.,Unknown
C-05828,2024-12-08T09:57:42+00:00,SMB,EU,Insurance,>1m,true,Loss event impacting property and contents. Theft of equipment reported. flood zone 3.,,Unknown
C-05829,2024-10-26T02:07:46+00:00,SMB,UK,Insurance,50k-250k,false,Business interruption may apply. Roof compromised. No policy documents attached.,,Accepted
C-05830,2024-10-21T14:12:16+00:00,SMB,EU,Insurance,250k-1m,false,Damage reported following heavy rainfall. Theft of equipment reported. No supporting documentation provided. Jurisdiction noted as EU.,No additional notes.,Accepted
C-05831,2024-10-02T13:13:19+00:00,Mid-Market,EU,Insurance,Unknown,false,Incident reported at commercial premises. Fire damage to warehouse. minor. No policy documents attached.,"Potential conflict in dates, needs review.",Unknown
C-05832,2024-12-30T19:46:49+00:00,Mid-Market,US,Insurance,250k-1m,true,Damage reported following heavy rainfall. Water ingress noted.,Duplicate of earlier report suspected.,Unknown
C-05833,2024-10-08T00:06:36+00:00,Mid-Market,UK,Advisory,50k-250k,true,Client requesting advice on regulatory exposure. Timeline not specified. Police reference number provided. Cross-border considerations likely.,"Potential conflict in dates, needs review.",Unknown
C-05834,2024-11-18T00:25:23+00:00,Mid-Market,UK,Insurance,<50k,true,Loss event impacting property and contents. Theft of equipment reported. small crack. Policy schedule attached.,,Accepted
C-05835,2024-10-31T06:54:49+00:00,Enterprise,UK,Legal,250k-1m,true,IP infringement allegation received. Multiple parties named. class action. Supporting documents attached.,Handler flagged missing attachments.,Accepted
C-05836,2024-11-05T04:03:01+00:00,SMB,EU,Legal,>1m,true,Employment dispute raised by former contractor. Evidence currently limited. Policy schedule attached.,,Unknown
C-05837,2024-12-02T15:06:36+00:00,Mid-Market,US,Advisory,<50k,false,client requesting advice on regulatory exposure. stakeholders across multiple regions. low value. no supporting documenation provided.,Caller sounded uncertain; follow-up likely required. Clarify scope and deliverables.,Rejected
C-05838,2024-10-08T01:52:15+00:00,SMB,UK,Insurance,50k-250k,false,Loss event impacting property and contents. Roof compromised. flood zone. No supporting documentation provided.,No additional notes.,Unknown
C-05839,2024-12-21T04:19:33+00:00,SMB,UK,Insurance,50k-250k,true,Loss event impacting property and contents. Roof compromised. ip infringement. Policy schedule attached.,No additional notes. Check coverage exclusions.,Rejected
C-05840,2024-11-14T14:49:29+00:00,SMB,Other,Insurance,50k-250k,false,Business interruption may apply. Basement affected. ip infringement.,Duplicate of earlier report suspected.,Accepted
C-05841,2024-11-07T01:08:00+00:00,Mid-Market,UK,Legal,50k-250k,true,Dispute escalated to legal threat. Jurisdiction disputed. Loss adjuster appointed. Jurisdiction noted as UK.,Handler flagged missing attachments. Consider limitation periods.,Unknown
C-05842,2024-10-27T21:37:45+00:00,Mid-Market,UK,Legal,<50k,false,Potential breach of contract raised. Time-sensitive response required. no supporting documentation.,Handler flagged missing attachments.,Accepted
C-05843,2024-10-08T18:01:39+00:00,,UK,Insurance,50k-250k,false,Loss event impacting property and contents. Fire damage to warehouse. storm damage.,,Unknown
C-05844,2024-12-29T14:04:14+00:00,Mid-Market,UK,Legal,Unknown,true,Formal letter received from counterparty. Evidence currently limited.,Duplicate of earlier report suspected.,Rejected
C-05845,2024-11-07T04:34:33+00:00,SMB,US,Legal,<50k,true,Potential breach of contract raised. Evidence currently limited. low value. Policy schedule attached.,,Rejected
C-05846,2024-11-07T19:34:07+00:00,SMB,UK,Legal,50k-250k,false,Employment dispute raised by former contractor. Evidence currently limited. storm damage. Evidence not yet supplied.,Client requested urgent callback. Consider limitation periods.,Unknown
C-05847,2024-10-21T12:01:23+00:00,SMB,EU,Insurance,250k-1m,true,Incident reported at commercial premises. Theft of equipment reported. business interruption.,,Unknown
C-05848,2024-11-22T07:21:01+00:00,Mid-Market,Other,Insurance,<50k,true,Business interruption may apply. Roof compromised. wear and tear. Loss adjuster appointed.,,Unknown
C-05849,2024-12-13T10:32:02+00:00,Enterprise,US,Insurance,50k-250k,true,Damage reported following heavy rainfall. Basement affected. Supporting documents attached. Jurisdiction noted as US.,"Potential conflict in dates, needs review.",Unknown
C-05850,2024-11-19T17:24:51+00:00,Enterprise,UK,Legal,<50k,true,Formal letter received from counterparty. Time-sensitive response required. low value.,Handler flagged missing attachments.,Settled
C-05851,2024-11-23T07:47:15+00:00,Mid-Market,US,Legal,<50k,false,Employment dispute raised by former contractor. Time-sensitive response required. No policy documents attached.,,Unknown
C-05852,2024-12-22T07:15:47+00:00,Mid-Market,UK,Insurance,>1m,true,Client reports storm-related damage. Water ingress noted. arson. Supporting documents attached. Cross-border considerations likely.,Client requested urgent callback. Check coverage exclusions.,Escalated
C-05853,2024-10-05T12:21:55+00:00,Mid-Market,US,Legal,<50k,true,Potential breach of contract raised. Multiple parties named. low value. Policy schedule attached.,,Unknown
C-05854,2024-10-29T23:16:50+00:00,SMB,UK,Legal,50k-250k,false,Potential breach of contract raised. Time-sensitive response required. flood zone. Jurisdiction noted as UK.,"Potential conflict in dates, needs review.",Rejected
C-05855,2024-11-30T00:41:33+00:00,Mid-Market,US,Insurance,250k-1m,true,Incident reported at commercial premises. Theft of equipment reported.,,Unknown
C-05856,2024-10-12T01:00:04+00:00,SMB,UK,Insurance,<50k,false,Incident reported at commercial premises. Basement affected. No policy documents attached. Overseas elements present.,,Unknown
C-05857,2024-12-08T18:45:27+00:00,SMB,UK,Advisory,<50k,false,Client requesting advice on regulatory exposure. Stakeholders across multiple regions. No policy documents attached. Jurisdiction noted as UK.,,Unknown
C-05858,2024-11-25T13:18:42+00:00,Mid-Market,EU,Insurance,50k-250k,true,Damage reported following heavy rainfall. Theft of equipment reported. Police reference number provided. Conflicting information reported by client.,No additional notes.,Unknown
C-05859,2024-11-29T14:34:15+00:00,Mid-Market,EU,Legal,<50k,false,IP infringement allegation received. Governing law unclear. Evidence not yet supplied.,,Rejected
C-05860,2024-12-26T08:05:01+00:00,SMB,EU,Legal,50k-250k,false,Potential breach of contract raised. Multiple parties named. flood zone 3. Evidence not yet supplied.,,Accepted
C-05861,2024-10-08T12:04:47+00:00,SMB,Other,Insurance,<50k,true,Incident reported at commercial premises. Water ingress noted.,,Accepted
C-05862,2024-10-22T12:55:00+00:00,Enterprise,UK,Insurance,<50k,true,Damage reported following heavy rainfall. Basement affected. wear and tear. Overseas elements present.,Client requested urgent callback.,Unknown
C-05863,2024-10-20T04:34:55+00:00,Enterprise,EU,Legal,<50k,false,Formal letter received from counterparty. Evidence currently limited. small crack. No supporting documentation provided.,No additional notes.,Unknown
C-05864,2024-12-25T12:27:14+00:00,Mid-Market,UK,Insurance,50k-250k,true,Damage reported following heavy rainfall. Basement affected. flood zone 3.,Duplicate of earlier report suspected. Check coverage exclusions.,Settled
C-05865,2024-10-06T00:37:20+00:00,SMB,UK,Advisory,250k-1m,false,Request for compliance gap analysis. Scope unclear. governing law unclear. No policy documents attached.,,Escalated
C-05866,2024-12-30T05:48:20+00:00,SMB,UK,Insurance,<50k,false,Client reports storm-related damage. Roof compromised. wear and tear.,,Unknown
C-05867,2024-10-28T14:46:47+00:00,Enterprise,EU,Legal,250k-1m,true,Employment dispute raised by former contractor. Evidence currently limited. Cross-border considerations likely.,,Unknown
C-05868,2024-10-30T20:49:16+00:00,SMB,UK,Legal,<50k,true,Dispute escalated to legal threat. Jurisdiction disputed. low value. Policy schedule attached.,Duplicate of earlier report suspected.,Rejected
C-05869,2024-12-27T21:37:46+00:00,Mid-Market,UK,Legal,<50k,false,Dispute escalated to legal threat. Governing law unclear. wear and tear. No supporting documentation provided.,Handler flagged missing attachments. Consider limitation periods.,Settled
C-05870,2024-12-12T02:29:26+00:00,Enterprise,EU,Insurance,<50k,true,Loss event impacting property and contents. Water ingress noted. Supporting documents attached.,No additional notes.,Rejected
C-05871,2024-10-11T07:46:16+00:00,SMB,US,Insurance,<50k,false,Incident reported at commercial premises. Roof compromised. wear and tear. No policy documents attached.,,Rejected
C-05872,2024-12-18T01:02:45+00:00,SMB,US,Insurance,Unknown,true,Damage reported following heavy rainfall. Theft of equipment reported. no supporting documentation. Supporting documents attached.,Duplicate of earlier report suspected.,Settled
