case_id,received_at,client_segment,jurisdiction,service_line,claim_value_band,attachments_present,free_text_summary,handler_notes,historical_outcome
C-14276,2024-12-20T01:15:18+00:00,SMB,UK,Legal,50k-250k,True,Formal letter received from counterparty. Time-sensitive response required. prior losses. Cross-border considerations likely.,Client requested urgent callback.,Accepted
C-14284,2024-10-09T03:44:37+00:00,Mid-Market,US,Advisory,<50k,True,Client requesting advice on regulatory exposure. No immediate dispute.,,Accepted
C-14592,2024-11-04T01:31:28+00:00,SMB,US,Insurance,250k-1m,False,Business interruption may apply. Theft of equipment reported. arson. No supporting documentation provided. Cross-border considerations likely.,Handler flagged missing attachments.,Escalated
C-14606,2024-12-03T19:14:46+00:00,SMB,UK,Legal,250k-1m,False,Employment dispute raised by former contractor. Time-sensitive response required. No supporting documentation provided.,Handler flagged missing attachments. Consider limitation periods.,Unknown
C-14765,2024-12-12T11:07:01+00:00,Mid-Market,UK,Advisory,250k-1m,True,Operational risk assessment requested. Regulator engagement anticipated. major fire. Police reference number provided.,,Rejected
C-14778,2024-10-19T20:48:56+00:00,SMB,UK,Legal,50k-250k,False,Potential breach of contract raised. Time-sensitive response required. storm damage.,Client requested urgent callback.,Unknown
C-14831,2024-12-03T15:23:48+00:00,Mid-Market,US,Insurance,<50k,True,Business interruption may apply. Basement affected.,,Accepted
C-14977,2024-12-08T01:37:15+00:00,Enterprise,UK,Insurance,50k-250k,False,Incident reported at commercial premises. Theft of equipment reported. No supporting documentation provided.,,Accepted
C-15003,2024-12-11T18:59:32+00:00,Mid-Market,Other,Insurance,250k-1m,True,Loss event impacting property and contents. Fire damage to warehouse. regulator visit. Supporting documents attached. Jurisdiction noted as Other.,,Unknown
C-15114,2024-11-23T10:03:31+00:00,SMB,EU,Insurance,250k-1m,False,Incident reported at commercial premises. Basement affected. injunction. Cross-border considerations likely.,Client requested urgent callback.,Accepted
C-15166,2024-10-15T08:46:47+00:00,SMB,EU,Insurance,50k-250k,False,Business interruption may apply. Basement affected. ip infringement.,Caller sounded uncertain; follow-up likely required.,Unknown
C-15171,2024-12-30T23:53:48+00:00,SMB,EU,Legal,50k-250k,True,Employment dispute raised by former contractor. Evidence currently limited. Loss adjuster appointed.,Caller sounded uncertain; follow-up likely required.,Unknown
C-15350,2024-12-06T05:17:19+00:00,Mid-Market,UK,Insurance,<50k,False,Business interruption may apply. Fire damage to warehouse.,Caller sounded uncertain; follow-up likely required.,Unknown
C-15368,2024-12-07T18:12:43+00:00,SMB,EU,Insurance,250k-1m,True,Loss event impacting property and contents. Fire damage to warehouse. prior losses. Jurisdiction noted as EU.,"Potential conflict in dates, needs review.",Accepted
C-15653,2024-12-04T06:08:14+00:00,SMB,UK,Legal,250k-1m,True,IP infringement allegation received. Jurisdiction disputed.,,Accepted
C-15951,2024-12-24T11:53:07+00:00,Mid-Market,US,Legal,<50k,True,Dispute escalated to legal threat. Jurisdiction disputed. no supporting documentation. Police reference number provided. Overseas elements present.,,Unknown
C-16335,2024-10-22T06:49:50+00:00,SMB,UK,Legal,250k-1m,True,Formal letter received from counterparty. Evidence currently limited. injunction. Cross-border considerations likely.,,Unknown
C-16405,2024-10-10T08:55:59+00:00,SMB,EU,Legal,<50k,False,Formal letter received from counterparty. Jurisdiction disputed. No supporting documentation provided.,,Accepted
C-16634,2024-12-15T14:32:20+00:00,SMB,UK,Insurance,<50k,False,Loss event impacting property and contents. Fire damage to warehouse.,,Unknown
C-16858,2024-12-07T06:49:53+00:00,SMB,Other,Insurance,250k-1m,True,Business interruption may apply. Roof compromised. data protection incident. Supporting documents attached.,,Accepted
C-16902,2024-11-09T09:09:09+00:00,SMB,UK,Insurance,<50k,True,Incident reported at commercial premises. Theft of equipment reported.,Caller sounded uncertain; follow-up likely required.,Accepted
C-17015,2024-12-10T21:50:52+00:00,SMB,Other,Legal,Unknown,True,Dispute escalated to legal threat. Time-sensitive response required. Loss adjuster appointed.,Caller sounded uncertain; follow-up likely required. Consider limitation periods.,Rejected
C-17028,2024-10-17T03:05:13+00:00,Mid-Market,UK,Advisory,>1m,True,Request for compliance gap analysis. Scope unclear. major fire. Jurisdiction noted as UK.,,Escalated
C-17171,2024-10-02T08:39:05+00:00,SMB,UK,Legal,250k-1m,False,Potential breach of contract raised. Jurisdiction disputed. injunction. Conflicting information reported by client.,,Unknown
C-17224,2024-11-16T18:49:33+00:00,Mid-Market,US,Legal,250k-1m,False,IP infringement allegation received. Time-sensitive response required. ip infringement. Evidence not yet supplied.,Handler flagged missing attachments.,Unknown
C-17360,2024-11-24T04:46:06+00:00,Enterprise,Other,Insurance,250k-1m,True,Client reports storm-related damage. Basement affected. suspected arson.,No additional notes.,Escalated
C-17661,2024-12-28T12:54:20+00:00,SMB,UK,Insurance,<50k,True,Damage reported following heavy rainfall. Roof compromised. Loss adjuster appointed.,Duplicate of earlier report suspected.,Unknown
C-17898,2024-12-14T05:54:01+00:00,SMB,UK,Insurance,50k-250k,True,Client reports storm-related damage. Fire damage to warehouse.,,Unknown
C-18367,2024-12-09T12:19:35+00:00,Enterprise,EU,Insurance,50k-250k,True,Incident reported at commercial premises. Fire damage to warehouse. business interruption. Police reference number provided.,,Unknown
C-18541,2024-10-15T23:34:35+00:00,Enterprise,UK,Advisory,>1m,True,Client requesting advice on regulatory exposure. No immediate dispute. data protection incident. Cross-border considerations likely.,Handler flagged missing attachments.,Escalated
C-18543,2024-10-16T04:18:08+00:00,SMB,EU,Advisory,<50k,False,Operational risk assessment requested. No immediate dispute. wear and tear. Evidence not yet supplied. Jurisdiction noted as EU.,,Unknown
C-18573,2024-11-23T23:40:11+00:00,SMB,UK,Insurance,<50k,False,Business interruption may apply. Roof compromised. No supporting documentation provided. Conflicting information reported by client.,,Rejected
C-18607,2024-11-10T11:56:28+00:00,SMB,US,Insurance,250k-1m,True,Incident reported at commercial premises. Fire damage to warehouse. Loss adjuster appointed. Overseas elements present.,,Unknown
C-18790,2024-10-13T19:41:51+00:00,SMB,UK,Legal,50k-250k,False,Potential breach of contract raised. Governing law unclear.,Handler flagged missing attachments.,Unknown
C-18900,2024-12-15T11:45:39+00:00,SMB,UK,Advisory,50k-250k,False,Client requesting advice on regulatory exposure. No immediate dispute. Jurisdiction noted as UK.,Duplicate of earlier report suspected.,Unknown
C-18932,2024-11-04T01:37:46+00:00,SMB,UK,Legal,<50k,False,Employment dispute raised by former contractor. Jurisdiction disputed. no supporting documentation. No policy documents attached. Cross-border considerations likely.,Client requested urgent callback.,Unknown
C-19078,2024-11-27T21:10:54+00:00,SMB,Other,,250k-1m,True,Damage reported following heavy rainfall. Roof compromised. class action. Jurisdiction noted as Other.,Client requested urgent callback.,Unknown
C-19176,2024-12-31T04:46:10+00:00,Mid-Market,UK,Insurance,50k-250k,False,Damage reported following heavy rainfall. Fire damage to warehouse. No policy documents attached. Cross-border considerations likely.,Client requested urgent callback. Check coverage exclusions.,Unknown
C-19227,2024-10-02T06:38:05+00:00,Mid-Market,UK,Legal,>1m,True,Potential breach of contract raised. Time-sensitive response required.,"Potential conflict in dates, needs review.",Settled
C-19258,2024-11-27T01:33:27+00:00,Mid-Market,UK,Insurance,50k-250k,True,Business interruption may apply. Fire damage to warehouse. Policy schedule attached.,,Unknown
C-19468,2024-10-31T20:17:07+00:00,Enterprise,US,Insurance,<50k,True,Business interruption may apply. Basement affected. small crack.,No additional notes.,Accepted
C-19474,2024-12-21T23:23:39+00:00,SMB,UK,Insurance,>1m,False,Business interruption may apply. Fire damage to warehouse. suspected arson. Conflicting information reported by client.,,Escalated
C-19543,2024-11-30T23:43:27+00:00,SMB,US,Advisory,50k-250k,False,Operational risk assessment requested. No immediate dispute. business interruption.,,Unknown
C-19557,2024-11-21T01:50:02+00:00,Enterprise,EU,Insurance,>1m,True,Business interruption may apply. Fire damage to warehouse. flood zone 3. Loss adjuster appointed.,,Accepted
C-19750,2024-11-15T06:49:59+00:00,Mid-Market,UK,Insurance,250k-1m,False,Loss event impacting property and contents. Water ingress noted. No supporting documentation provided.,,Settled
C-19799,2024-11-04T04:40:21+00:00,SMB,US,Legal,50k-250k,False,Formal letter received from counterparty. Governing law unclear.,Handler flagged missing attachments.,Unknown
C-19895,2024-12-07T17:04:08+00:00,Mid-Market,US,Insurance,50k-250k,True,Client reports storm-related damage. Roof compromised.,No additional notes.,Rejected
C-19912,2024-12-31T21:23:58+00:00,Enterprise,EU,Advisory,Unknown,False,Operational risk assessment requested. Timeline not specified. small crack.,Client requested urgent callback. Clarify scope and deliverables.,Accepted
C-20000,2024-12-04T15:04:01+00:00,Mid-Market,EU,Legal,>1m,True,Potential breach of contract raised. Evidence currently limited. subsidence. Cross-border considerations likely.,Caller sounded uncertain; follow-up likely required.,Unknown
